code,name,pe,pb,yield,time
1,CKH-HOLDINGS,4.981,0.427,5.664,2020-08-28 15:05:57
2,CLP-HOLDINGS,41.319,1.824,4.045,2020-08-28 15:06:00
3,HK-&-CHINA-GAS,28.622,3.105,3.021,2020-08-28 15:06:03
4,WHARF-HOLDINGS,13.771,0.327,1.797,2020-08-28 15:06:05
5,HSBC-HOLDINGS,14.831,0.493,2.289,2020-08-28 15:06:08
6,POWER-ASSETS,13.334,1.112,6.285,2020-08-28 15:06:10
7,HK-FINANCE-INV,3.669,0.676,0,2020-08-28 15:06:11
8,PCCW,55.341,2.419,6.612,2020-08-28 15:06:14
9,KEYNE-LTD,-0.741,0.306,0,2020-08-28 15:06:15
10,HANG-LUNG-GROUP,3.935,0.294,5.482,2020-08-28 15:06:16
11,HANG-SENG-BANK,9.739,1.33,5.868,2020-08-28 15:06:19
12,HENDERSON-LAND,8.889,0.471,5.769,2020-08-28 15:06:22
14,HYSAN-DEV,5.431,0.338,5.726,2020-08-28 15:06:24
15,VANTAGE-INT'L,-6.512,0.358,0,2020-08-28 15:06:27
16,SHK-PPT,6.657,0.528,4.797,2020-08-28 15:06:29
17,NEW-WORLD-DEV,5.75,0.467,4.988,2020-08-28 15:06:32
18,ORIENTAL-PRESS,-85,0.585,0,2020-08-28 15:06:33
19,SWIRE-PACIFIC-A,7.119,0.235,5.504,2020-08-28 15:06:35
20,WHEELOCK,13.689,0.469,2.569,2020-08-28 15:06:38
21,GREAT-CHI-PPT,-110,0.464,0,2020-08-28 15:06:41
22,MEXAN,-3.333,0.46,0,2020-08-28 15:06:42
23,BANK-OF-E-ASIA,19.597,0.466,2.911,2020-08-28 15:06:45
24,BURWILL,-3.227,0.441,0,2020-08-28 15:06:47
25,CHEVALIER-INT'L,5.561,0.327,5.295,2020-08-28 15:06:48
26,CHINA-MOTOR-BUS,3.143,0.433,21.762,2020-08-28 15:06:49
27,GALAXY-ENT,20.425,3.622,0.732,2020-08-28 15:06:51
28,TIAN-AN,4.513,0.25,4.963,2020-08-28 15:06:52
29,DYNAMIC-HOLD,62.233,1.458,0.673,2020-08-28 15:06:55
30,BAN-LOONG-HOLD,31.25,2.016,0,2020-08-28 15:06:58
31,CHINA-AEROSPACE,4.364,0.204,4.167,2020-08-28 15:06:59
32,CROSS-HAR(HOLD),5.328,0.528,4.038,2020-08-28 15:07:00
33,AMBER-HILL-FIN,-0.228,-0.795,0,2020-08-28 15:07:02
34,KOWLOON-DEV,4.601,0.416,8.142,2020-08-28 15:07:03
35,FE-CONSORT-INTL,15.871,0.524,7.724,2020-08-28 15:07:07
36,FE-HLDGS-INTL,-1.231,0.252,0,2020-08-28 15:07:09
37,FE-HOTELS,-3.487,0.28,0,2020-08-28 15:07:11
38,FIRST-TRACTOR,45,0.683,0,2020-08-28 15:07:12
39,CH-BEIDAHUANG,-1.49,0.281,0,2020-08-28 15:07:14
40,GOLD-PEAK,20.37,0.332,3.636,2020-08-28 15:07:18
41,GREAT-EAGLE-H,-40.252,0.197,14.74,2020-08-28 15:07:19
42,NE-ELECTRIC,-9.314,-6.597,0,2020-08-28 15:07:21
43,C.P.-POKPHAND,7.453,1.59,7.848,2020-08-28 15:07:23
45,HK&S-HOTELS,20.625,0.262,1.435,2020-08-28 15:07:26
46,COMPUTER-&-TECH,9.779,1.145,5.882,2020-08-28 15:07:28
47,HOP-HING-GROUP,4.833,1,5.172,2020-08-28 15:07:29
48,C-AUTO-INT-DECO,-0.953,0.164,0,2020-08-28 15:07:30
50,HK-FERRY-(HOLD),15.953,0.355,6.219,2020-08-28 15:07:37
51,HARBOUR-CENTRE,47.152,0.323,2.828,2020-08-28 15:07:38
52,FAIRWOOD-HOLD,40.34,3.407,3.85,2020-08-28 15:07:41
53,GUOCO-GROUP,9.709,0.533,3.976,2020-08-28 15:07:44
55,NEWAY-GROUP,-2.273,0.078,0,2020-08-28 15:07:49
56,ALLIED-PPT-(HK),4.515,0.335,4.188,2020-08-28 15:07:50
57,CHEN-HSONG-HOLD,11.477,0.405,5.263,2020-08-28 15:07:51
58,SUNWAY-INT'L,-0.185,0.302,0,2020-08-28 15:07:53
59,SKYFAME-REALTY,8.596,1.964,2.347,2020-08-28 15:07:58
60,HK-FOOD-INV,-6.452,0.259,0,2020-08-28 15:08:01
61,GREENLEADER-NEW,-0.134,-0.038,0,2020-08-28 15:08:02
62,TRANSPORT-INT'L,10.669,0.598,4.768,2020-08-28 15:08:04
63,CHINA-GRAPHENE,0,2.357,0,2020-08-28 15:08:06
64,GET-NICE,13.25,0.281,7.547,2020-08-28 15:08:10
65,GRAND-OCEAN-AR,-23.857,1.777,0,2020-08-28 15:08:11
66,MTR-CORPORATION,21.024,1.348,3.011,2020-08-28 15:08:13
67,LUMENA-NEWMAT,-16.01,-0.412,0,2020-08-28 15:08:14
68,LEE-HING,-0.454,0.284,0,2020-08-28 15:08:18
69,SHANGRI-LA-ASIA,19.459,0.482,1.235,2020-08-28 15:08:21
70,RICH-GOLDMAN,1.519,0.058,0,2020-08-28 15:08:24
71,MIRAMAR-HOTEL,7.167,0.464,4.192,2020-08-28 15:08:28
72,MODERN-MEDIA,149,0.148,0,2020-08-28 15:08:31
73,ASIAN-CITRUS,1.217,6.25,0,2020-08-28 15:08:34
75,Y.T.-REALTY,20.667,0.998,0.461,2020-08-28 15:08:38
76,ELATE-HOLDINGS,-1,0.027,0,2020-08-28 15:08:41
77,AMS-TRANSPORT,-4.776,2.5,4.688,2020-08-28 15:08:42
78,REGAL-INT'L,7.593,0.198,2.091,2020-08-28 15:08:44
79,CENTURY-LEGEND,-2.364,0.147,0,2020-08-28 15:08:46
80,CNEWECON-FUND,-1.956,1.112,0,2020-08-28 15:08:49
81,CH-OVS-G-OCEANS,4.747,0.808,5.136,2020-08-28 15:08:51
82,V1-GROUP,-6.25,1.291,0,2020-08-28 15:08:53
83,SINO-LAND,37.869,0.434,5.952,2020-08-28 15:08:56
84,STELUX-HOLDINGS,-0.223,0.17,0,2020-08-28 15:09:00
85,CE-HUADA-TECH,12.763,0.967,2.371,2020-08-28 15:09:01
86,SUN-HUNG-KAI-CO,3.027,0.31,8.228,2020-08-28 15:09:02
87,SWIRE-PACIFIC-B,5.908,0.195,6.629,2020-08-28 15:09:03
88,TAI-CHEUNG-HOLD,24.257,0.432,4.898,2020-08-28 15:09:05
89,TAI-SANG-LAND,2.709,0.148,5.353,2020-08-28 15:09:06
90,PUXING-ENERGY,5.224,0.499,5.714,2020-08-28 15:09:09
91,GOLDEN-CEN-INTL,-0.348,-0.563,0,2020-08-28 15:09:12
92,CHAMPION-TECH,-0.813,0.821,0,2020-08-28 15:09:13
93,TERMBRAY-IND,-21.071,0.636,0,2020-08-28 15:09:14
94,GREENHEART-GP,-2.208,0.331,0,2020-08-28 15:09:16
95,LVGEM-CHINA,7.761,1.066,2,2020-08-28 15:09:18
96,YUSEI,17.903,0.917,1.261,2020-08-28 15:09:20
97,HENDERSON-INV,20.5,0.969,4.878,2020-08-28 15:09:23
98,XINGFA-ALUM,5.059,1.009,3.415,2020-08-28 15:09:26
99,WONG'S-INT'L,3.986,0.212,2.252,2020-08-28 15:09:30
100,CLEAR-MEDIA,-39.777,1.566,0,2020-08-28 15:09:31
101,HANG-LUNG-PPT,16.181,0.72,3.423,2020-08-28 15:09:34
102,SUMMIT-ASCENT,10.588,0.592,0,2020-08-28 15:09:37
103,SHOUGANG-CENT,3.393,0.258,5.263,2020-08-28 15:09:38
104,ASIA-COMM-HOLD,-1.352,0.576,0,2020-08-28 15:09:40
105,ASSO-INT-HOTELS,-5.521,0.41,5.786,2020-08-28 15:09:43
106,LANDSEA-PPT,2.34,0.526,12.424,2020-08-28 15:09:45
107,SICHUAN-EXPRESS,4.484,0.319,6.742,2020-08-28 15:09:48
108,GR-PROPERTIES,39.032,1.658,0,2020-08-28 15:09:51
109,GOODRESOURCES,10.75,0.219,0,2020-08-28 15:09:53
110,CHINA-FORTUNE,-2.393,4.467,0,2020-08-28 15:09:55
111,CINDA-INTL-HLDG,4.938,0.289,0,2020-08-28 15:09:58
112,LERTHAI-GROUP,15.435,0.427,0,2020-08-28 15:10:01
113,DICKSON-CONCEPT,2.149,0.464,15.714,2020-08-28 15:10:02
114,HERALD-HOLD,40,0.54,8.333,2020-08-28 15:10:04
115,GRAND-FIELD-GP,-2.073,0.184,0,2020-08-28 15:10:07
116,CHOW-SANG-SANG,9.263,0.561,3.409,2020-08-28 15:10:11
117,TIANLI-HOLDINGS,-3.651,0.53,0,2020-08-28 15:10:14
118,COSMOS-MACH,20,0.265,0,2020-08-28 15:10:17
119,POLY-PROPERTY,2.35,0.277,8.496,2020-08-28 15:10:20
120,COSMOPOL-INT'L,-45.6,4.207,0,2020-08-28 15:10:23
121,C.P.-LOTUS,0,0,0,2020-08-28 15:10:25
122,CROCODILE,10.625,0.177,0,2020-08-28 15:10:27
123,YUEXIU-PROPERTY,5.651,0.517,6.974,2020-08-28 15:10:29
124,GD-LAND,5.528,0.395,0,2020-08-28 15:10:31
125,SUN-HING-VISION,-1.918,0.421,1.24,2020-08-28 15:10:33
126,CARRIANNA,50.909,0.196,5.357,2020-08-28 15:10:37
127,CHINESE-EST-H,12.222,0.288,0.395,2020-08-28 15:10:41
128,ENM-HOLDINGS,31.429,1.497,0,2020-08-28 15:10:44
129,ASIA-STANDARD,1.63,0.065,0,2020-08-28 15:10:47
130,MOISELLE-INT'L,-0.629,0.174,0,2020-08-28 15:10:48
131,CHEUK-NANG-HOLD,3.519,0.312,6.466,2020-08-28 15:10:50
132,CHINA-INV-HOLD,12.5,0.775,0,2020-08-28 15:10:52
133,CHINA-MERCHANTS,1.825,0.286,5.747,2020-08-28 15:10:55
135,KUNLUN-ENERGY,7.694,0.889,4.93,2020-08-28 15:10:59
136,HENGTEN-NET,250,14.706,0,2020-08-28 15:11:02
137,JINHUI-HOLDINGS,-80.833,0.212,0,2020-08-28 15:11:04
138,CCT-FORTIS,-1.584,0.079,0,2020-08-28 15:11:07
139,CENTRALWEALTHGP,1.714,0.289,0,2020-08-28 15:11:08
141,SKYCHINAFORTUNE,-46.667,0.413,0,2020-08-28 15:11:12
142,FIRST-PACIFIC,-4.627,0.402,6.635,2020-08-28 15:11:14
143,GUOAN-INTL,-6.333,0.927,0,2020-08-28 15:11:16
144,CHINA-MER-PORT,0,0.387,8.929,2020-08-28 15:11:18
145,HK-BLDG-&-LOAN,-0.049,0.055,0,2020-08-28 15:11:19
146,TAI-PING-CARPET,-6.832,0.532,0,2020-08-28 15:11:20
147,IB-SETTLEMENT,-13.444,2.75,0,2020-08-28 15:11:22
148,KINGBOARD-HLDG,8.298,0.521,5.835,2020-08-28 15:11:25
149,CH-AGRI-PROD-EX,68,0.618,0,2020-08-28 15:11:29
150,HYPEBEAST,24.545,5.956,0,2020-08-28 15:11:31
151,WANT-WANT-CHINA,17.103,4.085,5.883,2020-08-28 15:11:32
152,SHENZHEN-INT'L,5.375,0.899,9.286,2020-08-28 15:11:33
153,CHINA-SAITE,2.311,0.094,0,2020-08-28 15:11:35
154,BE-ENVIRONMENT,3.277,0.258,0,2020-08-28 15:11:37
155,CHINA-SOLAR,-15,0,0,2020-08-28 15:11:40
156,LIPPO-CHINA-RES,-3.487,0.394,7.353,2020-08-28 15:11:42
157,NATURAL-BEAUTY,43.333,2.167,0,2020-08-28 15:11:44
158,MELBOURNE-ENT,-7.743,0.462,3,2020-08-28 15:11:47
159,BROCKMAN-MINING,15.714,1.594,0,2020-08-28 15:11:49
160,HON-KWOK-LAND,-53.8,0.171,4.647,2020-08-28 15:11:50
161,AVIC-IHL,0,0,0,2020-08-28 15:11:51
162,CENTURY-GINWA,-0.331,0.168,0,2020-08-28 15:11:52
163,EMPEROR-INT'L,-1.181,0.158,5.983,2020-08-28 15:11:53
164,CHINA-BAOLI-TEC,-3.808,-1.021,0,2020-08-28 15:11:56
165,CHINA-EB-LTD,9.036,0.486,3.083,2020-08-28 15:11:59
166,NEWTIMES-ENERGY,-0.184,0.495,0,2020-08-28 15:12:01
167,IDT-INT'L,-0.844,-0.659,0,2020-08-28 15:12:03
168,TSINGTAO-BREW,48.402,4.677,0.795,2020-08-28 15:12:04
169,WANDA-HOTEL-DEV,-9.375,0.733,0,2020-08-28 15:12:05
171,SILVER-GRANT,40.833,0.338,0,2020-08-28 15:12:12
172,GOLDBOND-GROUP,-0.721,0.432,0,2020-08-28 15:12:15
173,K.-WAH-INT'L,3.671,0.297,5.676,2020-08-28 15:12:18
174,GEMINI-INV,-2.262,0.067,0,2020-08-28 15:12:20
175,GEELY-AUTO,15.754,2.552,1.574,2020-08-28 15:12:22
176,SUPERACTIVE-GP,-4.109,0.614,0,2020-08-28 15:12:26
177,JIANGSU-EXPRESS,0,1.277,6.218,2020-08-28 15:12:28
178,SA-SA-INT'L,-7.964,2.481,0,2020-08-28 15:12:31
179,JOHNSON-ELEC-H,-3.636,0.989,1.08,2020-08-28 15:12:32
180,KADER-HOLDINGS,-39.333,0.242,0,2020-08-28 15:12:33
181,FUJIAN-HOLDINGS,23.875,0.532,0,2020-08-28 15:12:36
182,CONCORD-NE,4.383,0.455,7.042,2020-08-28 15:12:38
183,WINFULL-GP,5.125,0.116,0,2020-08-28 15:12:41
184,KECK-SENG-INV,184.375,0.271,1.525,2020-08-28 15:12:42
185,ZENSUN-ENT,2.41,0.985,4.5,2020-08-28 15:12:45
186,NIMBLE-HOLDINGS,-35,6.747,0,2020-08-28 15:12:47
187,JINGCHENG-MAC,-4.215,1.622,0,2020-08-28 15:12:49
188,SUNWAH-KINGSWAY,-9,0.292,11.111,2020-08-28 15:12:50
189,DONGYUE-GROUP,4.361,0.817,6.745,2020-08-28 15:12:52
190,HKC-(HOLDINGS),8.807,0.185,5.591,2020-08-28 15:12:54
191,LAI-SUN-INT'L,1.108,0.137,0.922,2020-08-28 15:12:57
193,CAPITAL-ESTATE,0.531,0.078,0,2020-08-28 15:13:01
194,LIU-CHONG-HING,5.88,0.204,7.934,2020-08-28 15:13:03
195,GREENTECH-INTL,-10.889,1.556,0,2020-08-28 15:13:06
196,HONGHUA-GROUP,10.87,0.281,0,2020-08-28 15:13:07
197,HENG-TAI,-0.546,0.084,0,2020-08-28 15:13:09
198,SMI-HOLDINGS,-1.457,0.892,0,2020-08-28 15:13:10
199,ITC-PROPERTIES,-0.857,0.203,9.302,2020-08-28 15:13:12
200,MELCO-INT'L-DEV,38.509,1.569,0.518,2020-08-28 15:13:13
201,MAGNIFICENT,24,0.215,0,2020-08-28 15:13:14
202,EVERCHINA-INT'L,-2.5,0.672,0,2020-08-28 15:13:17
204,CHINA-INV-DEV,-1.78,2.282,0,2020-08-28 15:13:22
205,SEEC-MEDIA,-0.555,0.132,0,2020-08-28 15:13:24
206,CMIC-OCEAN,10.37,0.912,0,2020-08-28 15:13:27
207,JOY-CITY-PPT,4.874,0.254,6.897,2020-08-28 15:13:29
208,POLYTEC-ASSET,4.34,0.219,10.725,2020-08-28 15:13:33
209,WINSHINE-SCI,-4,1.455,0,2020-08-28 15:13:34
210,DAPHNE-INT'L,-0.299,0.462,0,2020-08-28 15:13:37
211,STYLAND-HOLD,-2.417,0.345,0,2020-08-28 15:13:40
212,NANYANG-HOLD,23.741,0.269,3.373,2020-08-28 15:13:43
213,NATIONAL-ELEC-H,8.75,0.436,3.333,2020-08-28 15:13:47
214,ASIA-ORIENT,1.322,0.06,0,2020-08-28 15:13:48
215,HUTCHTEL-HK,13.82,0.496,4.878,2020-08-28 15:13:51
216,CHINNEY-INV,-20.122,0.118,3.03,2020-08-28 15:13:53
217,CHINA-CHENGTONG,22,0.367,0,2020-08-28 15:13:54
218,SWHYHK,10.957,0.411,2.913,2020-08-28 15:13:56
219,SHUNHO-PROPERTY,41.765,0.116,0,2020-08-28 15:13:58
220,U-PRESID-CHINA,20.282,2.035,4.819,2020-08-28 15:14:00
221,EASY-ONE-FIN,9.333,0.358,0,2020-08-28 15:14:02
222,MIN-XIN-HOLD,3.762,0.305,2.778,2020-08-28 15:14:04
223,ELIFE-HLDGS,-3.423,2.119,0,2020-08-28 15:14:05
224,PIONEER-GLOBAL,32.424,0.176,1.402,2020-08-28 15:14:07
225,POKFULAM,9.259,0.229,3.304,2020-08-28 15:14:08
226,LIPPO,-112.381,0.122,3.814,2020-08-28 15:14:09
227,FIRST-SHANGHAI,44.375,0.191,0,2020-08-28 15:14:10
228,CHINA-ENERGY,-17.25,0.868,0,2020-08-28 15:14:12
229,RAYMOND-IND,11.139,0.718,6.818,2020-08-28 15:14:16
230,MINMETALS-LAND,3.298,0.339,8.602,2020-08-28 15:14:17
231,PING-AN-SEC-GP,-0.13,-0.202,0,2020-08-28 15:14:18
232,AVIC-INT'L,-22.167,0.346,0,2020-08-28 15:14:20
233,MY-MEDICARE,0,0,0,2020-08-28 15:14:23
234,NEW-CENTURY-GP,28,0.3,0,2020-08-28 15:14:26
235,CHINA-STRATEGIC,-4.421,0.424,0,2020-08-28 15:14:29
236,SAN-MIGUEL-HK,24.839,0.529,0,2020-08-28 15:14:30
237,SAFETY-GODOWN,-12.188,0.789,0.648,2020-08-28 15:14:32
238,EVERGREEN-INT,-1.903,0.267,0,2020-08-28 15:14:35
239,PAK-FAH-YEOW,15.517,0.738,4.722,2020-08-28 15:14:36
240,BUILD-KING-HOLD,3.515,0.885,5.714,2020-08-28 15:14:38
241,ALI-HEALTH,-19380,40.629,0,2020-08-28 15:14:40
242,SHUN-TAK-HOLD,2.415,0.233,6.522,2020-08-28 15:14:41
243,QPL-INT'L,-0.652,0.095,0,2020-08-28 15:14:44
244,SINCERE,-2.303,3.486,0,2020-08-28 15:14:46
245,CHINA-VERED-FIN,-5.632,0.682,0,2020-08-28 15:14:47
246,REALGOLD-MINING,-146.833,14.395,0,2020-08-28 15:14:51
247,TST-PROPERTIES,51.452,0.59,2.218,2020-08-28 15:14:52
248,HKC-INT'L-HOLD,-4.889,0.398,0,2020-08-28 15:14:55
250,SINO-I-TECH,49,0.742,12.245,2020-08-28 15:15:00
251,SEA-HOLDINGS,31.111,0.86,0.616,2020-08-28 15:15:03
252,SE-ASIA-PPT,-4.15,0.749,0.877,2020-08-28 15:15:06
253,SHUNHO-HOLDINGS,60.667,0.071,0,2020-08-28 15:15:07
254,NUR-HOLDINGS,14.2,-1.711,0,2020-08-28 15:15:11
255,LUNG-KEE,9.195,0.648,10.138,2020-08-28 15:15:14
256,CITYCHAMP,158,1.616,0,2020-08-28 15:15:16
257,CHINA-EB-INT'L,5.632,0.806,5.66,2020-08-28 15:15:18
258,TOMSON-GROUP,18.953,0.262,6.748,2020-08-28 15:15:19
259,YEEBO-(INT'L-H),12.96,0.897,3.086,2020-08-28 15:15:21
260,AVIC-JOY-HLDG,-0.351,-0.406,0,2020-08-28 15:15:23
261,GBA-HOLDINGS,-10,1.667,0,2020-08-28 15:15:25
262,DESON-DEV-INT'L,-3.333,0.077,0,2020-08-28 15:15:28
263,GT-GROUP-HLDG,-0.031,-0.04,0,2020-08-28 15:15:29
264,CN-INT-DEV-CORP,-21.875,42,0,2020-08-28 15:15:30
265,ORIENT-VICTORY,-19.25,3.208,0,2020-08-28 15:15:33
266,TIAN-TECK-LAND,-5.263,0.37,6.078,2020-08-28 15:15:34
267,CITIC,4.031,0.367,6.225,2020-08-28 15:15:36
268,KINGDEE-INT'L,159.69,10.218,0.058,2020-08-28 15:15:39
269,CRTG,-0.044,-0.013,0,2020-08-28 15:15:42
270,GUANGDONG-INV,16.373,2.008,4.597,2020-08-28 15:15:44
271,ASIASEC-PPT,25.106,0.33,2.119,2020-08-28 15:15:48
272,SHUI-ON-LAND,3.978,0.17,7.85,2020-08-28 15:15:49
273,MASON-GP-HOLD,-1.308,0.301,0,2020-08-28 15:15:51
274,C-BILLION-RES,-1.273,0.927,0,2020-08-28 15:15:52
275,MASTER-GLORY-GP,-0.266,0.028,0,2020-08-28 15:15:55
276,MONGOLIA-ENERGY,0.166,-0.101,0,2020-08-28 15:15:59
277,TERN-PROPERTIES,-2.587,0.393,0.941,2020-08-28 15:16:01
278,WAH-HA-REALTY,-13.58,0.515,5.455,2020-08-28 15:16:04
279,FREEMAN-FINTECH,-0.065,0.057,0,2020-08-28 15:16:06
280,KING-FOOK-HOLD,45.833,0.396,0.727,2020-08-28 15:16:09
281,RIVERA-(HOLD),8.488,0.369,10.959,2020-08-28 15:16:11
282,NEXT-DIGITAL,-2.261,1.455,0,2020-08-28 15:16:13
285,BYD-ELECTRONIC,0,3.494,0.268,2020-08-28 15:16:20
286,AIDIGONG,172.5,2.396,0.145,2020-08-28 15:16:23
287,WINFAIR-INV,-3.941,0.295,3.295,2020-08-28 15:16:26
288,WH-GROUP,8.827,1.491,4.599,2020-08-28 15:16:29
289,WING-ON-CO,6.751,0.264,5.846,2020-08-28 15:16:30
290,C-FORTUNE-FIN,-10,2.286,0,2020-08-28 15:16:32
291,CHINA-RES-BEER,118.916,7.93,0.357,2020-08-28 15:16:35
292,ASIA-STD-HOTEL,1.084,0.118,0,2020-08-28 15:16:38
293,CATHAY-PAC-AIR,16.444,0.442,0,2020-08-28 15:16:42
294,YANGTZEKIANG,-8.178,0.379,0,2020-08-28 15:16:43
295,KONG-SUN-HOLD,-0.865,0.111,0,2020-08-28 15:16:44
296,EMPEROR-E-HOTEL,5.493,0.307,5.128,2020-08-28 15:16:45
297,SINOFERT,7.755,0.616,3.816,2020-08-28 15:16:48
298,CHUANG'S-CHINA,-4.329,0.221,0,2020-08-28 15:16:49
299,GLORY-SUN-LAND,3.539,0.493,0,2020-08-28 15:16:52
301,SANVO-CHEMICALS,12.911,0,2.353,2020-08-28 15:16:54
302,CMGE,23.741,2.019,1.032,2020-08-28 15:16:56
303,VTECH-HOLDINGS,7.791,2.47,9.008,2020-08-28 15:16:58
305,WULING-MOTORS,0,0.524,0.909,2020-08-28 15:17:04
306,KWOON-CHUNG-BUS,55.814,0.53,0,2020-08-28 15:17:06
307,UP-ENERGY-DEV,-0.125,0.333,0,2020-08-28 15:17:09
308,CHINA-TRAVEL-HK,17.042,0.417,2.479,2020-08-28 15:17:12
309,XH-NEWS-MEDIA,-3.571,1.786,0,2020-08-28 15:17:15
310,PROSP-INV-HOLD,-0.277,0.154,0,2020-08-28 15:17:17
311,LUEN-THAI,2.105,0.243,0,2020-08-28 15:17:18
312,SHIRBLE-STORE,11.148,0.683,2.794,2020-08-28 15:17:21
313,RICHLY-FIELD,-0.769,3.333,0,2020-08-28 15:17:24
315,SMARTONE-TELE,7.567,0.947,8.333,2020-08-28 15:17:30
316,OOIL,1.984,0.543,44.874,2020-08-28 15:17:32
317,COMEC,21.106,1.141,0,2020-08-28 15:17:34
318,VONGROUP,10,0.26,0,2020-08-28 15:17:37
320,COMPUTIME,23.462,0.203,4.262,2020-08-28 15:17:42
321,TEXWINCA-HOLD,9.754,0.334,8.403,2020-08-28 15:17:45
322,TINGYI,22.81,3.88,4.351,2020-08-28 15:17:46
323,MAANSHAN-IRON,12.988,0.545,4.131,2020-08-28 15:17:49
326,CHINA-STAR-ENT,-12.869,1.154,7.962,2020-08-28 15:17:56
327,PAX-GLOBAL,8.466,1.108,2.708,2020-08-28 15:17:59
328,ALCO-HOLDINGS,-0.265,0.234,0,2020-08-28 15:18:00
329,OCI-INTL,-16.703,7.005,0,2020-08-28 15:18:03
330,ESPRIT-HOLDINGS,-0.798,0.256,0,2020-08-28 15:18:06
331,FSE-SERVICES,5.818,1.686,7.719,2020-08-28 15:18:09
332,YUANHENG-GAS,-42.222,1.751,0,2020-08-28 15:18:10
333,TOP-FORM-INT'L,-2.456,0.292,0,2020-08-28 15:18:13
334,CH-DISPLAY-OPT,15.893,1.369,0,2020-08-28 15:18:16
335,UPBEST-GROUP,46.667,0.855,1.19,2020-08-28 15:18:19
336,HUABAO-INTL,17.475,1.643,2.289,2020-08-28 15:18:21
337,GREENLAND-HK,2.563,0.513,9.766,2020-08-28 15:18:24
338,SHANGHAI-PECHEM,7.205,0.535,7.939,2020-08-28 15:18:27
339,CORE-ECON-INV,-3.551,1.339,0,2020-08-28 15:18:30
340,TONGGUAN-GOLD,-55,0.65,0,2020-08-28 15:18:34
341,CAFE-DE-CORAL-H,142.677,3.98,1.049,2020-08-28 15:18:36
342,NEWOCEAN-ENERGY,1.602,0.128,0,2020-08-28 15:18:37
343,CULTURECOM-HOLD,-2.452,0.648,0,2020-08-28 15:18:38
345,VITASOY-INT'L,53.968,9.249,1.184,2020-08-28 15:18:44
346,YANCHANG-PETRO,-1.389,0.633,0,2020-08-28 15:18:47
347,ANGANG-STEEL,10.472,0.359,2.793,2020-08-28 15:18:50
348,CHINAHEALTHWISE,-1.667,0.595,0,2020-08-28 15:18:52
351,ASIA-ENERGY-LOG,-45.833,-2.236,0,2020-08-28 15:18:57
352,FORTUNE-SUN,-13.036,4.294,0,2020-08-28 15:18:59
353,ENERGY-INTINV,12.6,0.45,0,2020-08-28 15:19:01
354,CHINASOFT-INT'L,16.21,1.956,0.396,2020-08-28 15:19:02
355,CENTURY-C-INT'L,10.513,0.146,15.854,2020-08-28 15:19:04
356,DT-CAPITAL,-4,0.638,0,2020-08-28 15:19:06
357,MEILAN-AIRPORT,33.848,3.811,0,2020-08-28 15:19:09
358,JIANGXI-COPPER,11.741,0.543,1.18,2020-08-28 15:19:11
359,HAISHENG-JUICE,-2.071,0.114,0,2020-08-28 15:19:13
360,NEW-FOCUS-AUTO,-2.312,0.561,0,2020-08-28 15:19:15
361,SINO-GOLF-HOLD,-7.25,0.547,0,2020-08-28 15:19:17
362,XINYANG-MAOJIAN,-0.701,0.632,0,2020-08-28 15:19:21
363,SHANGHAI-IND-H,3.869,0.322,4.362,2020-08-28 15:19:24
364,BLOCKCHAIN-GP,-0.728,0.049,0,2020-08-28 15:19:27
365,SINO-ICT,-171.111,7.13,0,2020-08-28 15:19:30
366,LUKS-GROUP-(VN),5.041,0.252,7.377,2020-08-28 15:19:31
367,CHUANG'S-INT'L,-2.275,0.145,1.563,2020-08-28 15:19:33
368,SUPERLAND-GROUP,0,0,0,2020-08-28 15:19:36
369,WING-TAI-PPT,22.599,0.2,6.75,2020-08-28 15:19:39
370,CHINA-BEST,-5.429,0.518,0,2020-08-28 15:19:42
371,BJ-ENT-WATER,6.459,1.053,5.763,2020-08-28 15:19:44
372,PT-INTL-DEV,-0.604,1.038,0,2020-08-28 15:19:45
373,ALLIED-GROUP,5.106,0.46,3.401,2020-08-28 15:19:46
374,FOUR-SEAS-MER,-54.118,0.811,3.442,2020-08-28 15:19:50
375,YGM-TRADING,-4.571,0.74,4.167,2020-08-28 15:19:52
376,YUNFENG-FIN,43.5,1.11,0,2020-08-28 15:19:53
377,HUAJUN-INTL-GP,-0.929,0.228,0,2020-08-28 15:19:54
378,FDG-KINETIC,-0.312,0.475,0,2020-08-28 15:19:57
379,EG-LEASING,-6.862,0.32,0,2020-08-28 15:20:01
380,SOFTPOWER-INT,25,0.306,0,2020-08-28 15:20:04
381,KIU-HUNG-INT'L,-0.323,0.303,0,2020-08-28 15:20:05
382,EDVANTAGE-GROUP,18.947,3.329,1.024,2020-08-28 15:20:08
383,CHINA-MED&HCARE,0,1.208,0,2020-08-28 15:20:09
384,CHINA-GAS-HOLD,12.124,2.813,2.342,2020-08-28 15:20:11
385,CHINNEY-ALLI,3.864,0.262,4.706,2020-08-28 15:20:14
386,SINOPEC-CORP,6.667,0.519,9.802,2020-08-28 15:20:15
387,LEEPORT(HOLD),-3.651,0.361,3.623,2020-08-28 15:20:18
388,HKEX,51.188,10.946,1.748,2020-08-28 15:20:21
389,TONTINE-WINES,0,0.236,0,2020-08-28 15:20:23
390,CHINA-RAILWAY,3.776,0.464,4.613,2020-08-28 15:20:26
